Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,Adjusted Proceeds,Proceeds Diff
Trades,Data,Order,Stocks,USD,MARA,2025-07-15 14:35:52,500.0,19.0,18.76,-9500.0,-2.73699,9502.73699,0.0,-120.0,O,-9500.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-16 09:30:00,-500.0,19.52,19.44,9760.0,-2.82746,-9440.73917,316.43337,40.0,C,9760.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-16 10:30:29,500.0,19.66,19.44,-9830.0,-2.73699,9832.73699,0.0,-110.0,O,-9830.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-16 10:45:03,-500.0,19.8,19.44,9900.0,-2.82746,-9452.73699,444.43555,180.0,C,9900.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-16 12:34:35,500.0,19.85,19.44,-9925.0,-2.73699,9927.73699,0.0,-205.0,O,-9925.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-17 10:33:19,-500.0,19.98,19.97,9990.0,-2.82746,-9502.73699,484.43555,5.0,C;P,9990.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-17 11:18:37,500.0,19.83,19.97,-9915.0,-2.73699,9917.73699,0.0,70.0,O;P,-9915.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-17 11:33:01,-500.0,19.95,19.97,9975.0,-2.82746,-9832.73699,139.43555,-10.0,C;P,9975.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-17 11:54:35,-500.0,19.95,19.97,9975.0,-2.82746,-9927.73699,44.43555,-10.0,C,9975.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-17 12:38:51,500.0,19.83,19.97,-9915.0,-2.73699,9917.73699,0.0,70.0,O;P,-9915.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-17 13:28:03,500.0,19.75,19.97,-9875.0,-2.73699,9877.73699,0.0,110.0,O,-9875.0,0.0
Trades,Data,Order,Stocks,USD,MARA,2025-07-17 13:59:09,-500.0,19.88,19.97,9940.0,-2.82746,-9917.73699,19.435549,-45.0,C,9940.0,0.0
Trades,Data,Order,Stocks,USD,NU,2024-01-30 10:54:59,,8.898333333,8.78,-10678.0,-6.54,10684.54,0.0,-142.0,O;P,,
Trades,Data,Order,Stocks,USD,NU,2024-04-24 12:29:31,750.0,10.608,10.77,-7956.0,-4.0875,7960.0875,0.0,121.5,O,-7956.0,0.0
Trades,Data,Order,Stocks,USD,NU,2024-06-05 12:18:21,550.0,11.5995,11.71,-6379.725,-2.9975,6382.7225,0.0,60.775,IA;O,-6379.73,-0.0
Trades,Data,Order,Stocks,USD,NU,2024-07-22 10:09:03,500.0,12.745,12.99,-6372.5,-2.725,6375.225,0.0,122.5,O,-6372.5,0.0
Trades,Data,Order,Stocks,USD,NU,2024-08-14 10:24:30,-500.0,13.25,13.38,6625.0,-3.01622075,-4452.225,2169.758779,-65.0,C,6625.0,0.0
Trades,Data,Order,Stocks,USD,NU,2024-09-27 09:34:09,500.0,13.9,13.87,-6950.0,-2.75334,6952.75334,0.0,-15.0,O,-6950.0,0.0
Trades,Data,Order,Stocks,USD,NU,2024-11-04 10:12:23,600.0,14.4,14.37,-8640.0,-3.301392,8643.301392,0.0,-18.0,O,-8640.0,0.0
Trades,Data,Order,Stocks,USD,NU,2024-11-12 12:00:06,900.0,15.85,15.84,-14265.0,-4.952088,14269.952088,0.0,-9.0,O;P,-14265.0,0.0
Trades,Data,Order,Stocks,USD,NU,2024-11-14 10:31:12,500.0,14.125,15.19,-7062.5,-2.76424,7065.26424,0.0,532.5,O,-7062.5,0.0
Trades,Data,Order,Stocks,USD,NU,2025-02-21 10:50:40,,11.0878,10.82,-11087.8,-5.489349,11093.28935,0.0,-267.8,O;P,,
Trades,Data,Order,Stocks,USD,ORCL,2025-01-22 13:04:04,50.0,184.9,184.22,-9245.0,-1.0919075,9246.091908,0.0,-34.0,O,-9245.0,0.0
